"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"AD256-Grey-L","MG AD256 Women’s Sporty Winter Tracksuit - Grey / L *KAMPANJ*",1.000,399.20,99.80,499.00,199.50,199.70,0.50025050100200400802
"ad2aa220","High-Performance 970 Leggings for Ultimate Comfort",2.000,199.20,49.80,249.00,0.00,199.20,1.00000000000000000000
"AF01-BLACK-37","AF01-BLACK-37",0.000,0.00,0.00,0.00,0.00,0.00,
"AF01-BLACK-38","AF01-BLACK-38",2.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"AF01-BLACK-39","AF01-BLACK-39",0.000,0.00,0.00,0.00,0.00,0.00,
"AF01-BLACK-40","AF01-BLACK-40",2.000,0.00,0.00,0.00,0.00,0.00,
"AF01-GREY-36","AF01-GREY-36",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"AF01-GREY-37","CHW AF01 Women’s Sneakers - GREY / 37 *KAMPANJ*",2.000,279.20,69.80,349.00,149.50,129.70,0.46454154727793696275
"AF01-GREY-38","AF01-GREY-38",2.000,558.40,139.60,698.00,0.00,558.40,1.00000000000000000000
"AF01-GREY-40","AF01-GREY-40",1.000,0.00,0.00,0.00,0.00,0.00,
"AF01-OFF WHITE-37","AF01-OFF WHITE-37",1.000,0.00,0.00,0.00,0.00,0.00,
"AF01-OFF WHITE-39","AF01-OFF WHITE-39",1.000,0.00,0.00,0.00,0.00,0.00,
"AF01-WHITE-38","CHW AF01 Women’s Sneakers - WHITE / 38 *KAMPANJ*",1.000,239.68,59.92,299.60,149.50,90.18,0.37625166889185580774
"AF01-WHITE-39","CHW AF01 Women’s Sneakers - WHITE / 39 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"AF02-BLACK-37","CHW AF02 Women’s Sneakers - BLACK / 37 *KAMPANJ*",12.000,479.52,119.88,599.40,1794.00,-1314.48,-2.7412412412412412
"AF02-GREY-36","CHW AF02 Women’s Sneakers - GREY / 36 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"AF02-GREY-40","AF02-GREY-40",2.000,558.40,139.60,698.00,0.00,558.40,1.00000000000000000000
"AF02-OFF WHITE-36","CHW AF02 Women’s Sneakers Stylish and Comfortable Footwear",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"AF02-OFF WHITE-38","AF02-OFF WHITE-38",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"AF06-BLACK-39","CHW AF06 Women’s Sneakers - BLACK / 39 *KAMPANJ*",2.000,279.20,69.80,349.00,149.50,129.70,0.46454154727793696275
"AF06-GREY-39","AF06-GREY-39",1.000,280.00,70.00,350.00,0.00,280.00,1.00000000000000000000
"ALEX-D-US","Alex - Default / Universal Size *KAMPANJ*",20.000,1770.15,442.58,2212.73,1250.00,520.15,0.29384515436544925571
"b046d23c","Alex",54.000,2376.79,594.20,2970.99,0.00,2376.79,1.00000000000000000000
"b2cc6fb0","Stylish 9956 Leggings for Comfort and Fashionable Fit",21.000,927.20,231.80,1159.00,0.00,927.20,1.00000000000000000000
