"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"GD576-Black-M","MG GD576 Women’s Sporty Winter Tracksuit - Black / M *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD576-Black-XL","MG GD576 Women’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD576-Brown-L","MG GD576 Women’s Sporty Winter Tracksuit - Brown / L *KAMPANJ*",2.000,318.40,79.60,398.00,399.00,-80.60,-0.25314070351758793970
"GDB303-Beige-11-12","MG GDB303 Children’s Sporty Winter Tracksuit fo... - Green / 11-12 *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GDB303-Beige-7-8","MG GDB303 Children’s Sporty Winter Tracksuit fo... - Green / 7-8 *KAMPANJ*",4.000,636.80,159.20,796.00,798.00,-161.20,-0.25314070351758793970
"GDB303-Beige-9-10","MG GDB303 Children’s Sporty Winter Tracksuit fo... - Green / 9-10 *KAMPANJ*",2.000,318.40,79.60,398.00,399.00,-80.60,-0.25314070351758793970
"GDB303-Brown-11-12","MG GDB303 Children’s Sporty Winter Tracksuit fo... - Brown / 11-12 *KAMPANJ*",1.000,279.20,69.80,349.00,199.50,79.70,0.28545845272206303725
"GDB303-Brown-9-10","MG GDB303 Children’s Sporty Winter Tracksuit fo... - Brown / 9-10 *KAMPANJ*",2.000,318.40,79.60,398.00,399.00,-80.60,-0.25314070351758793970
"GDB303-Grey-9-10","MG GDB303 Children’s Sporty Winter Tracksuit fo... - Grey / 9-10 *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GDB576-Beige-11-12","MG GDB576 Children’s Sporty Winter Tracksuit fo... - Green / 11-12 *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GDB576-Beige-7-8","MG GDB576 Children’s Sporty Winter Tracksuit fo... - Green / 7-8 *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GDB576-Black-7-8","MG GDB576 Children’s Sporty Winter Tracksuit fo... - Black / 7-8 *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GDB576-Grey-7-8","MG GDB576 Children’s Sporty Winter Tracksuit fo... - Grey / 7-8 *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GENSKU_0","Alex 2 - Default / Universal Size *KAMPANJ*",1.000,39.20,9.80,49.00,24.50,14.70,0.37500000000000000000
"GY582-P-XL","GY582 Women’s Puffer Jackets - Pink / XL *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"JJ1001-D-US","JJ1001 Leggings for Women - Default / Universal Size *KAMPANJ*",3.000,174.14,43.54,217.68,132.75,41.39,0.23768232456644079476
"JP1-B-US","JP1 Fur Jackets and Elegance - Brown / Universal Size *KAMPANJ*",2.000,558.40,139.60,698.00,429.00,129.40,0.23173352435530085960
"JP1-B-US-3","JP1 Fur Jackets and Elegance - Black / Universal Size *KAMPANJ*",1.000,319.20,79.80,399.00,0.00,319.20,1.00000000000000000000
"JP1-W-US","JP1 Fur Jackets and Elegance - White / Universal Size *KAMPANJ*",2.000,638.40,159.60,798.00,214.50,423.90,0.66400375939849624060
"JP2-B-US","JP2 Black Vest Jackets - Black / Universal Size *KAMPANJ*",1.000,0.00,0.00,0.00,164.50,-164.50,
"JP2-W-US","JP2 Black Vest Jackets - White / Universal Size *KAMPANJ*",1.000,199.20,49.80,249.00,164.50,34.70,0.17419678714859437751
"LL-D-US","LL Women’s Knit Sweater for Winter in Cozy Styles - Default / Universal Size *KAMPANJ*",71.000,7560.16,1890.04,9450.20,6965.00,595.16,0.07872320162536242619
"M02-BLACK-39","HZ 808 Men’s Sneakers - BLACK / 39 *KAMPANJ*",1.000,79.20,19.80,99.00,84.50,-5.30,-0.06691919191919191919
"M02-BLACK-41","HZ 808 Men’s Sneakers - BLACK / 41 *KAMPANJ*",2.000,158.40,39.60,198.00,169.00,-10.60,-0.06691919191919191919
"M0D6-BLACKWHITE-36","HZ 817 Women’s Sneakers - BLACK RED / 36 *KAMPANJ*",1.000,79.20,19.80,99.00,49.50,29.70,0.37500000000000000000
"M0D6-BLACKWHITE-38","HZ 817 Women’s Sneakers - BLACK RED / 38 *KAMPANJ*",1.000,79.20,19.80,99.00,49.50,29.70,0.37500000000000000000
"M0D6-BLACKWHITE-41","HZ 817 Women’s Sneakers - BLACK RED / 41 *KAMPANJ*",1.000,79.20,19.80,99.00,49.50,29.70,0.37500000000000000000
"M0D6-PURPLE-40","HZ 817 Women’s Sneakers - RED BLACK / 40 *KAMPANJ*",2.000,158.40,39.60,198.00,99.00,59.40,0.37500000000000000000
"MA01-GREYPURPLE-38","HZ MA01 Women’s Sneakers - GREY PURPLE / 38 *KAMPANJ*",2.000,156.35,39.09,195.44,99.00,57.35,0.36680524464342820595
"MA66-BLACK-41","HZ MA66 Women’s Sneakers - BLACK / 41 *KAMPANJ*",1.000,78.18,19.54,97.72,49.50,28.68,0.36684574059861857252
"MK2978-Beige-M","MG MK2978 Women’s Sporty Winter Tracksuit - Beige / M *KAMPANJ*",1.000,319.20,79.80,399.00,399.50,-80.30,-0.25156641604010025063
"Model_3-Black-L","YR5 Men’s Sweaters - Black / CN L = EU XS *KAMPANJ*",1.000,79.20,19.80,99.00,89.50,-10.30,-0.13005050505050505051
"Model_5-Coffee-L","YR1 Men’s Sweaters - Grey / CN L = EU XS *KAMPANJ*",1.000,79.20,19.80,99.00,89.50,-10.30,-0.13005050505050505051
"P30-BLACK-44","HZ XM12 Men’s Sneakers - BLACK / 44 *KAMPANJ*",1.000,79.20,19.80,99.00,49.50,29.70,0.37500000000000000000
"SA-09-BLACK-39","CH SA-09 Men’s Sneakers - BLACK / 39 *KAMPANJ*",2.000,159.20,39.80,199.00,299.00,-139.80,-0.87814070351758793970
"SA-09-BLACK-40","CH SA-09 Men’s Sneakers - BLACK / 40 *KAMPANJ*",2.000,159.20,39.80,199.00,299.00,-139.80,-0.87814070351758793970
"SA-09-BLACK-41","CH SA-09 Men’s Sneakers - BLACK / 41 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"SA-09-BLACK-42","CH SA-09 Men’s Sneakers - BLACK / 42 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"SA-09-BLACK-43","CH SA-09 Men’s Sneakers - BLACK / 43 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"SA-09-GREY-39","CH SA-09 Men’s Sneakers - GREY / 39 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"SA-09-GREY-42","CH SA-09 Men’s Sneakers - GREY / 42 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"SA-09-WHITE-42","CH SA-09 Men’s Sneakers - WHITE / 42 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"SA-09-WHITE-44","CH SA-09 Men’s Sneakers - WHITE / 44 *KAMPANJ*",3.000,159.20,39.80,199.00,448.50,-289.30,-1.8172110552763819
"SY01","SY01 Handbag - Standard *KAMPANJ*",43.000,3413.60,853.40,4267.00,6909.00,-3495.40,-1.0239629716428404
"SY02","Sy02 Handbag Needs - Standard *KAMPANJ*",22.000,2315.20,578.80,2894.00,2961.00,-645.80,-0.27893918451969592260
"SY03","SY03 Handbag - Standard *KAMPANJ*",11.000,864.00,216.00,1080.00,1151.50,-287.50,-0.33275462962962962963
"SY04","SY04 Handbag - Standard *KAMPANJ*",2.000,79.20,19.80,99.00,329.00,-249.80,-3.1540404040404040
"SY05","SY05 Handbag - Standard *KAMPANJ*",2.000,358.40,89.60,448.00,329.00,29.40,0.08203125000000000000
"SY06","SY06 Handbag - Standard *KAMPANJ*",1.000,79.20,19.80,99.00,164.50,-85.30,-1.0770202020202020
"T8666-15-Louis-Brown","MS T8666-15 Women's Handbag - Brown *KAMPANJ*",1.000,0.00,0.00,0.00,99.50,-99.50,
"TM002-B-150","INCI TM002 Children’s Puffer Jackets - Black / 150 *KAMPANJ*",2.000,638.40,159.60,798.00,449.00,189.40,0.29667919799498746867
"TM005-Black-110","INCI TM005 Children’s Puffer Jackets - WHITE-PINK / 110 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM005-Black-120","INCI TM005 Children’s Puffer Jackets - WHITE-PINK / 120 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM005-Black-130","INCI TM005 Children’s Puffer Jackets - WHITE-PINK / 130 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM155-Black-140","INCI TM155 Children’s Puffer Jackets - Black / 140 *KAMPANJ*",1.000,399.20,99.80,499.00,224.50,174.70,0.43762525050100200401
"TM156-B-150","INCI TM156 Children’s Puffer Jackets - Black / 150 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM156-Beige-110","INCI TM156 Children’s Puffer Jackets - PINK / 110 *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"TM156-Beige-140","INCI TM156 Children’s Puffer Jackets - PINK / 140 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM156-Black-110","INCI TM156 Children’s Puffer Jackets - Black / 110 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM156-Black-120","INCI TM156 Children’s Puffer Jackets - Black / 120 *KAMPANJ*",1.000,320.00,80.00,400.00,224.50,95.50,0.29843750000000000000
"TM156-Brown-110","INCI TM156 Children’s Puffer Jackets - Brown / 110 *KAMPANJ*",1.000,399.20,99.80,499.00,224.50,174.70,0.43762525050100200401
"TM156-Brown-130","INCI TM156 Children’s Puffer Jackets - Brown / 130 *KAMPANJ*",1.000,399.20,99.80,499.00,224.50,174.70,0.43762525050100200401
"TM156-Grey-110","INCI TM156 Children’s Puffer Jackets - RED / 110 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM156-Grey-120","INCI TM156 Children’s Puffer Jackets - RED / 120 *KAMPANJ*",1.000,160.00,40.00,200.00,224.50,-64.50,-0.40312500000000000000
"TM156-Grey-140","INCI TM156 Children’s Puffer Jackets - RED / 140 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM157-Black-110","Inci Tm157 Children’s Puffer Jackets - Black / 110 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM157-Black-130","Inci Tm157 Children’s Puffer Jackets - Black / 130 *KAMPANJ*",2.000,478.40,119.60,598.00,449.00,29.40,0.06145484949832775920
"TM157-Grey-140","Inci Tm157 Children’s Puffer Jackets - Red / 140 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM170-BEIGE-90","INCI TM170 Children’s Puffer Jackets - BEIGE / 90 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM170-Black-140","INCI TM170 Children’s Puffer Jackets - ORANGE / 100 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM170-Brown-130","INCI TM170 Children’s Puffer Jackets - GREEN / 130 *KAMPANJ*",1.000,399.20,99.80,499.00,224.50,174.70,0.43762525050100200401
"TM170-Brown-140","INCI TM170 Children’s Puffer Jackets - GREEN / 100 *KAMPANJ*",2.000,798.40,199.60,998.00,449.00,349.40,0.43762525050100200401
"TM170-Grey-110","INCI TM170 Children’s Puffer Jackets - BEIGE / 110 *KAMPANJ*",1.000,80.00,20.00,100.00,224.50,-144.50,-1.8062500000000000
"TM186-Black-130","INCI TM186 Children’s Puffer Jackets - Black / 130 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM190-Black-140","INCI TM190 Children’s Puffer Jackets - Black / 140 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM192-B-150","INCI TM192 Children’s Puffer Jackets - Black / 150 *KAMPANJ*",1.000,399.20,99.80,499.00,224.50,174.70,0.43762525050100200401
"TM192-Black-120","INCI TM192 Children’s Puffer Jackets - Black / 120 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM192-Black-130","INCI TM192 Children’s Puffer Jackets - Black / 130 *KAMPANJ*",1.000,239.20,59.80,299.00,224.50,14.70,0.06145484949832775920
"TM192-Black-140","INCI TM192 Children’s Puffer Jackets - Black / 140 *KAMPANJ*",2.000,478.40,119.60,598.00,449.00,29.40,0.06145484949832775920
"TM192-Grey-120","INCI TM192 Children’s Puffer Jackets - BEIGE / 120 *KAMPANJ*",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"TM1-BEIGE-L","TM1 Women’S Coat - Beige / L *KAMPANJ*",3.000,3357.60,839.40,4197.00,2248.50,1109.10,0.33032523230879199428
"TM1-BEIGE-M","TM1 Women’S Coat - Beige / M *KAMPANJ*",2.000,1918.40,479.60,2398.00,1499.00,419.40,0.21861968306922435363
"TM1-BEIGE-XL","TM1 Women’S Coat - Beige / XL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"TM1-BROWN-L","TM1 Women’S Coat - Brown / L *KAMPANJ*",1.000,1199.20,299.80,1499.00,749.50,449.70,0.37500000000000000000
"TM1-BROWN-XL","TM1 Women’S Coat - Brown / XL *KAMPANJ*",1.000,800.00,200.00,1000.00,749.50,50.50,0.06312500000000000000
"TM1-BROWN-XXL","TM1 Women’S Coat - Brown / 2XL *KAMPANJ*",1.000,1199.20,299.80,1499.00,749.50,449.70,0.37500000000000000000
"TM3-WHITE-M","TM3 Women’S Coat - White / M *KAMPANJ*",1.000,959.20,239.80,1199.00,749.50,209.70,0.21861968306922435363
"TZ302-Beige-2XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / 2XL *KAMPANJ*",3.000,1117.92,279.48,1397.40,898.50,219.42,0.19627522541863460713
"TZ302-Beige-L","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / L *KAMPANJ*",2.000,638.40,159.60,798.00,599.00,39.40,0.06171679197994987469
"TZ302-Beige-M","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / M *KAMPANJ*",3.000,1117.92,279.48,1397.40,898.50,219.42,0.19627522541863460713
"TZ302-Beige-XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Dark Blue / XL *KAMPANJ*",3.000,957.60,239.40,1197.00,898.50,59.10,0.06171679197994987469
"TZ302-Black-2XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Black / 2XL *KAMPANJ*",4.000,1276.80,319.20,1596.00,1198.00,78.80,0.06171679197994987469
"TZ302-Black-L","G2 TZ302 Men’s Sporty Winter Tracksuit - Black / L *KAMPANJ*",2.000,638.40,159.60,798.00,299.50,338.90,0.53085839598997493734
"TZ302-Black-M","G2 TZ302 Men’s Sporty Winter Tracksuit - Black / M *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"TZ302-Black-XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",1.000,479.20,119.80,599.00,299.50,179.70,0.37500000000000000000
"TZ302-Grey-2XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Grey / 2XL *KAMPANJ*",2.000,958.40,239.60,1198.00,599.00,359.40,0.37500000000000000000
"TZ302-Grey-M","G2 TZ302 Men’s Sporty Winter Tracksuit - Grey / M *KAMPANJ*",2.000,638.40,159.60,798.00,599.00,39.40,0.06171679197994987469
"TZ302-Grey-XL","G2 TZ302 Men’s Sporty Winter Tracksuit - Grey / XL *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"TZ303-Beige-2XL","G2 TZ303 Men’s Sporty Winter Tracksuit - Dark blue / 2XL *KAMPANJ*",4.000,883.20,220.80,1104.00,1198.00,-314.80,-0.35643115942028985507
"TZ303-Beige-L","G2 TZ303 Men’s Sporty Winter Tracksuit - Dark blue / L *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"TZ303-Black-2XL","G2 TZ303 Men’s Sporty Winter Tracksuit - Black / 2XL *KAMPANJ*",1.000,479.52,119.88,599.40,299.50,180.02,0.37541708375041708375
"TZ303-Black-M","G2 TZ303 Men’s Sporty Winter Tracksuit - Black / M *KAMPANJ*",1.000,479.20,119.80,599.00,299.50,179.70,0.37500000000000000000
"TZ303-Black-XL","G2 TZ303 Men’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",4.000,1436.80,359.20,1796.00,1198.00,238.80,0.16620267260579064588
"TZ303-Grey-XL","G2 TZ303 Men’s Sporty Winter Tracksuit - Grey / XL *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"TZ304-Black-L","G2 TZ304 Men’s Sporty Winter Tracksuit - Black / L *KAMPANJ*",2.000,638.40,159.60,798.00,599.00,39.40,0.06171679197994987469
"TZ304-Black-M","G2 TZ304 Men’s Sporty Winter Tracksuit - Black / M *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"TZ304-Black-XL","G2 TZ304 Men’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",2.000,638.40,159.60,798.00,599.00,39.40,0.06171679197994987469
"TZ304-Brown-XL","G2 TZ304 Men’s Sporty Winter Tracksuit - white / XL *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"TZ304-Grey-L","G2 TZ304 Men’s Sporty Winter Tracksuit - Grey / L *KAMPANJ*",1.000,319.20,79.80,399.00,299.50,19.70,0.06171679197994987469
"XF10-B-US","XF10 Sweater Women’s - Black / Universal Size *KAMPANJ*",1.000,143.20,35.80,179.00,149.50,-6.30,-0.04399441340782122905
"XG009-WHITE_PINK-36","CHW XG009 Women’s Sneakers - WHITE/PINK / 36 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"XG009-WHITE_PINK-38","CHW XG009 Women’s Sneakers - WHITE/PINK / 38 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"XG009-WHITE_PINK-40","CHW XG009 Women’s Sneakers - WHITE/PINK / 40 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"XG009-WHITE_RED-36","CHW XG009 Women’s Sneakers - WHITE/RED / 36 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"XL-B-CNXLEUM-2","XL 79888 Men’s Puffer Jacket - Beige / CN XL = EU M *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"Z592-BLACK-39","CH Z592 Men’s Sneakers - BLACK / 39 *KAMPANJ*",2.000,159.20,39.80,199.00,299.00,-139.80,-0.87814070351758793970
"ZQ77-BLACK-42","CH ZQ77 Men’s Sneakers - BLACK / 42 *KAMPANJ*",3.000,0.00,0.00,0.00,448.50,-448.50,
"ZQ77-BLACK-43","CH ZQ77 Men’s Sneakers - BLACK / 43 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"ZQ77-BLACK-44","CH ZQ77 Men’s Sneakers - BLACK / 44 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"ZQ77-WHITE-39","CH ZQ77 Men’s Sneakers - WHITE / 39 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"ZQ77-WHITE-42","CH ZQ77 Men’s Sneakers - WHITE / 42 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"ZQ99-BLACK-39","CH ZQ99 Men’s Sneakers - BLACK / 39 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"ZQ99-BLACK-42","CH ZQ99 Men’s Sneakers - BLACK / 42 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"ZQ99-BLACK-43","CH ZQ99 Men’s Sneakers - BLACK / 43 *KAMPANJ*",2.000,318.40,79.60,398.00,299.00,19.40,0.06092964824120603015
"ZQ99-BLACK-44","CH ZQ99 Men’s Sneakers - BLACK / 44 *KAMPANJ*",2.000,159.20,39.80,199.00,299.00,-139.80,-0.87814070351758793970
"ZQ99-WHITE-44","CH ZQ99 Men’s Sneakers - WHITE / 44 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
