"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"BAJ51-Grey-3XL","G2 BAJ51 Men’s Sporty Multi Season Tracksuit Set - Grey / 3XL *KAMPANJ*",2.000,478.40,119.60,598.00,499.00,-20.60,-0.04306020066889632107
"BAJ52-Beige-2XL","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Beige / 2XL *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"BAJ52-Beige-L","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Beige / L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ52-Beige-XL","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Beige / XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ52-Black-3XL","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Black / 3XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ52-Brown-3XL","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Dark blue / 3XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ52-Grey-3XL","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Grey / 3XL *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ52-Grey-L","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Grey / L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ53-Beige-L","G2 BAJ53 Men’s Sporty Multi Season Tracksuit - Beige / L *KAMPANJ*",2.000,478.40,119.60,598.00,499.00,-20.60,-0.04306020066889632107
"BAJ53-Brown-L","G2 BAJ53 Men’s Sporty Multi Season Tracksuit - Brown / L *KAMPANJ*",1.000,239.20,59.80,299.00,249.50,-10.30,-0.04306020066889632107
"BAJ54-Black-2XL","G2 BAJ54 Men’s Sporty Multi Seasons Swedish Tra... - Black / 2XL *KAMPANJ*",2.000,478.40,119.60,598.00,499.00,-20.60,-0.04306020066889632107
"BAJ54-Black-L","G2 BAJ54 Men’s Sporty Multi Seasons Swedish Tra... - Black / L *KAMPANJ*",2.000,478.40,119.60,598.00,499.00,-20.60,-0.04306020066889632107
"BAJ54-Black-M","G2 BAJ54 Men’s Sporty Multi Seasons Swedish Tra... - Black / M *KAMPANJ*",2.000,638.40,159.60,798.00,499.00,139.40,0.21835839598997493734
"BK0031-BEIGE-37","CHW BK0031 Women’s Sneakers - BEIGE / 37 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"BK0031-BLACK-36","CHW BK0031 Women’s Sneakers - BLACK / 36 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"BK0031-BLACK-38","CHW BK0031 Women’s Sneakers - BLACK / 38 *KAMPANJ*",2.000,318.40,79.60,398.00,0.00,318.40,1.00000000000000000000
"C188-BEIGE-41","CH C188 Men’s Sneakers - BEIGE / 41 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"C188-BEIGE-42","CH C188 Men’s Sneakers - BEIGE / 42 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C188-BEIGE-43","CH C188 Men’s Sneakers - BEIGE / 43 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C188-BEIGE-44","CH C188 Men’s Sneakers - BEIGE / 44 *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"C188-RED-41","CH C188 Men’s Sneakers - RED / 41 *KAMPANJ*",1.000,236.50,59.13,295.63,149.50,87.00,0.36786469344608879493
"C188-RED-44","CH C188 Men’s Sneakers - RED / 44 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"C191-BLACK-41","CH C191 Men’s Sneakers - BLACK / 41 *KAMPANJ*",3.000,0.00,0.00,0.00,448.50,-448.50,
"C191-BLACK-42","CH C191 Men’s Sneakers - BLACK / 42 *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"C191-BLACK-44","CH C191 Men’s Sneakers - BLACK / 44 *KAMPANJ*",2.000,159.20,39.80,199.00,299.00,-139.80,-0.87814070351758793970
"C191-WHITE_BEIGE-44","CH C191 Men’s Sneakers - WHITE/BEIGE / 44 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"C196-BLACK-42","CH C196 Men’s Sneakers - BLACK / 42 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
